AP1,angle_AP1,location_AP1,AP2,angle_AP2,location_AP2,AP3 ,angle_AP3,location_AP3,,cordinates of targeted  node 
-48,87.73,"(9.6,7.5)",-48,0,"(0,0)",-42,40.17,"(0,7.5)",,"(9,0)"
-46,87.73,"(9.6,7.5)",-49,0,"(0,0)",-37,40.17,"(0,7.5)",,"(9,0)"
-46,87.73,"(9.6,7.5)",-50,0,"(0,0)",-38,40.17,"(0,7.5)",,"(9,0)"
-43,87.73,"(9.6,7.5)",-49,0,"(0,0)",-37,40.17,"(0,7.5)",,"(9,0)"
-43,87.73,"(9.6,7.5)",-50,0,"(0,0)",-38,40.17,"(0,7.5)",,"(9,0)"
-44,87.73,"(9.6,7.5)",-51,0,"(0,0)",-37,40.17,"(0,7.5)",,"(9,0)"
-44,87.73,"(9.6,7.5)",-47,0,"(0,0)",-38,40.17,"(0,7.5)",,"(9,0)"
-43,87.73,"(9.6,7.5)",-49,0,"(0,0)",-38,40.17,"(0,7.5)",,"(9,0)"
-44,87.73,"(9.6,7.5)",-50,0,"(0,0)",-39,40.17,"(0,7.5)",,"(9,0)"
-43,87.73,"(9.6,7.5)",-51,0,"(0,0)",-38,40.17,"(0,7.5)",,"(9,0)"
-44,87.73,"(9.6,7.5)",-48,0,"(0,0)",-38,40.17,"(0,7.5)",,"(9,0)"
-44,87.73,"(9.6,7.5)",-47,0,"(0,0)",-38,40.17,"(0,7.5)",,"(9,0)"
-43,87.73,"(9.6,7.5)",-48,0,"(0,0)",-38,40.17,"(0,7.5)",,"(9,0)"
-43,87.73,"(9.6,7.5)",-48,0,"(0,0)",-38,40.17,"(0,7.5)",,"(9,0)"
-44,87.73,"(9.6,7.5)",-48,0,"(0,0)",-38,40.17,"(0,7.5)",,"(9,0)"
-43,87.73,"(9.6,7.5)",-51,0,"(0,0)",-38,40.17,"(0,7.5)",,"(9,0)"
-44,87.73,"(9.6,7.5)",-48,0,"(0,0)",-39,40.17,"(0,7.5)",,"(9,0)"
-43,87.73,"(9.6,7.5)",-49,0,"(0,0)",-38,40.17,"(0,7.5)",,"(9,0)"
-44,87.73,"(9.6,7.5)",-50,0,"(0,0)",-38,40.17,"(0,7.5)",,"(9,0)"
-43,87.73,"(9.6,7.5)",-48,0,"(0,0)",-39,40.17,"(0,7.5)",,"(9,0)"
-44,87.73,"(9.6,7.5)",-49,0,"(0,0)",-38,40.17,"(0,7.5)",,"(9,0)"
-43,87.73,"(9.6,7.5)",-47,0,"(0,0)",-39,40.17,"(0,7.5)",,"(9,0)"
-44,87.73,"(9.6,7.5)",-48,0,"(0,0)",-38,40.17,"(0,7.5)",,"(9,0)"
-43,87.73,"(9.6,7.5)",-49,0,"(0,0)",-39,40.17,"(0,7.5)",,"(9,0)"
-44,87.73,"(9.6,7.5)",-50,0,"(0,0)",-38,40.17,"(0,7.5)",,"(9,0)"
-44,87.73,"(9.6,7.5)",-49,0,"(0,0)",-39,40.17,"(0,7.5)",,"(9,0)"
-44,87.73,"(9.6,7.5)",-50,0,"(0,0)",-39,40.17,"(0,7.5)",,"(9,0)"
-43,87.73,"(9.6,7.5)",-49,0,"(0,0)",-39,40.17,"(0,7.5)",,"(9,0)"
-43,87.73,"(9.6,7.5)",-45,0,"(0,0)",-38,40.17,"(0,7.5)",,"(9,0)"
-43,87.73,"(9.6,7.5)",-48,0,"(0,0)",-39,40.17,"(0,7.5)",,"(9,0)"
