AP1,,AP2,,AP3 ,,location ,cordinates of targeted  node ,,,Angles 
Scan 1: -45 dBm,,Scan 1: -34 dBm,,Scan 1: -40 dBm,,"ap2(0,0)","(1.5,0)",,,ap2 0*
Scan 2: -40 dBm,,Scan 2: -38 dBm,,Scan 2: -39 dBm,,"ap3(0,7.5)",,,,ap3 78.83
Scan 3: -40 dBm,,Scan 3: -39 dBm,,Scan 3: -40 dBm,,"ap1(9.6,7.5)",,,,ap1 44.25
Scan 4: -40 dBm,,Scan 4: -35 dBm,,Scan 4: -39 dBm,,,,,,
Scan 5: -40 dBm,,Scan 5: -38 dBm,,Scan 5: -40 dBm,,,,,,
Scan 6: -41 dBm,,Scan 6: -38 dBm,,Scan 6: -40 dBm,,,,,,
Scan 7: -40 dBm,,Scan 7: -37 dBm,,Scan 7: -39 dBm,,,,,,
Scan 8: -40 dBm,,Scan 8: -39 dBm,,Scan 8: -39 dBm,,,,,,
Scan 9: -41 dBm,,Scan 9: -37 dBm,,Scan 9: -40 dBm,,,,,,
Scan 10: -41 dBm,,Scan 10: -38 dBm,,Scan 10: -41 dBm,,,,,,
Scan 11: -40 dBm,,Scan 11: -37 dBm,,Scan 11: -39 dBm,,,,,,
Scan 12: -39 dBm,,Scan 12: -40 dBm,,Scan 12: -40 dBm,,,,,,
Scan 13: -40 dBm,,Scan 13: -38 dBm,,Scan 13: -40 dBm,,,,,,
Scan 14: -40 dBm,,Scan 14: -40 dBm,,Scan 14: -40 dBm,,,,,,
Scan 15: -39 dBm,,Scan 15: -38 dBm,,Scan 15: -39 dBm,,,,,,
Scan 16: -40 dBm,,Scan 16: -38 dBm,,Scan 16: -40 dBm,,,,,,
Scan 17: -40 dBm,,Scan 17: -37 dBm,,Scan 17: -40 dBm,,,,,,
Scan 18: -40 dBm,,Scan 18: -37 dBm,,Scan 18: -41 dBm,,,,,,
Scan 19: -41 dBm,,Scan 19: -36 dBm,,Scan 19: -40 dBm,,,,,,
Scan 20: -41 dBm,,Scan 20: -40 dBm,,Scan 20: -40 dBm,,,,,,
Scan 21: -41 dBm,,Scan 21: -38 dBm,,Scan 21: -39 dBm,,,,,,
Scan 22: -41 dBm,,Scan 22: -37 dBm,,Scan 22: -41 dBm,,,,,,
Scan 23: -42 dBm,,Scan 23: -38 dBm,,Scan 23: -39 dBm,,,,,,
Scan 24: -44 dBm,,Scan 24: -38 dBm,,Scan 24: -41 dBm,,,,,,
Scan 25: -39 dBm,,Scan 25: -38 dBm,,Scan 25: -40 dBm,,,,,,
Scan 26: -40 dBm,,Scan 26: -36 dBm,,Scan 26: -41 dBm,,,,,,
Scan 27: -40 dBm,,Scan 27: -39 dBm,,Scan 27: -40 dBm,,,,,,
Scan 28: -41 dBm,,Scan 28: -38 dBm,,Scan 28: -40 dBm,,,,,,
Scan 29: -44 dBm,,Scan 29: -39 dBm,,Scan 29: -40 dBm,,,,,,
Scan 30: -42 dBm,,Scan 30: -39 dBm,,Scan 30: -40 dBm,,,,,,
Scan 31: -42 dBm,,Scan 31: -39 dBm,,Scan 31: -40 dBm,,,,,,
Scan 32: -44 dBm,,Scan 32: -39 dBm,,Scan 32: -41 dBm,,,,,,
Scan 33: -44 dBm,,Scan 33: -38 dBm,,Scan 33: -41 dBm,,,,,,
Scan 34: -40 dBm,,Scan 34: -37 dBm,,Scan 34: -39 dBm,,,,,,
Scan 35: -44 dBm,,Scan 35: -39 dBm,,Scan 35: -40 dBm,,,,,,
Scan 36: -44 dBm,,Scan 36: -38 dBm,,Scan 36: -40 dBm,,,,,,
Scan 37: -44 dBm,,Scan 37: -37 dBm,,Scan 37: -40 dBm,,,,,,
Scan 38: -44 dBm,,Scan 38: -38 dBm,,Scan 38: -40 dBm,,,,,,
Scan 39: -44 dBm,,Scan 39: -38 dBm,,Scan 39: -40 dBm,,,,,,
Scan 40: -44 dBm,,Scan 40: -40 dBm,,Scan 40: -39 dBm,,,,,,
Scan 41: -44 dBm,,Scan 41: -39 dBm,,Scan 41: -38 dBm,,,,,,
Scan 42: -44 dBm,,Scan 42: -36 dBm,,Scan 42: -40 dBm,,,,,,
Scan 43: -41 dBm,,Scan 43: -36 dBm,,Scan 43: -39 dBm,,,,,,
Scan 44: -40 dBm,,Scan 44: -38 dBm,,Scan 44: -39 dBm,,,,,,
Scan 45: -44 dBm,,Scan 45: -37 dBm,,Scan 45: -40 dBm,,,,,,
Scan 46: -44 dBm,,Scan 46: -38 dBm,,Scan 46: -39 dBm,,,,,,
Scan 47: -44 dBm,,Scan 47: -36 dBm,,Scan 47: -40 dBm,,,,,,
Scan 48: -44 dBm,,Scan 48: -38 dBm,,Scan 48: -40 dBm,,,,,,
Scan 49: -44 dBm,,Scan 49: -38 dBm,,Scan 49: -39 dBm,,,,,,
Scan 50: -44 dBm,,Scan 50: -37 dBm,,Scan 50: -40 dBm,,,,,,
