AP1,angle_AP1,location_AP1,AP2,angle_AP2,location_AP2,AP3 ,angle_AP3,location_AP3,,cordinates of targeted  node 
-46,19.9,"(9.6,7.5)",-50,46.8,"(0,0)",-44,11.3,"(0,7.5)",,"(6,6.4)"
-43,19.9,"(9.6,7.5)",-52,46.8,"(0,0)",-40,11.3,"(0,7.5)",,"(6,6.4)"
-42,19.9,"(9.6,7.5)",-59,46.8,"(0,0)",-40,11.3,"(0,7.5)",,"(6,6.4)"
-43,19.9,"(9.6,7.5)",-57,46.8,"(0,0)",-40,11.3,"(0,7.5)",,"(6,6.4)"
-43,19.9,"(9.6,7.5)",-63,46.8,"(0,0)",-40,11.3,"(0,7.5)",,"(6,6.4)"
-45,19.9,"(9.6,7.5)",-58,46.8,"(0,0)",-39,11.3,"(0,7.5)",,"(6,6.4)"
-42,19.9,"(9.6,7.5)",-62,46.8,"(0,0)",-41,11.3,"(0,7.5)",,"(6,6.4)"
-43,19.9,"(9.6,7.5)",-61,46.8,"(0,0)",-41,11.3,"(0,7.5)",,"(6,6.4)"
-44,19.9,"(9.6,7.5)",-57,46.8,"(0,0)",-39,11.3,"(0,7.5)",,"(6,6.4)"
-43,19.9,"(9.6,7.5)",-60,46.8,"(0,0)",-40,11.3,"(0,7.5)",,"(6,6.4)"
-44,19.9,"(9.6,7.5)",-61,46.8,"(0,0)",-41,11.3,"(0,7.5)",,"(6,6.4)"
-43,19.9,"(9.6,7.5)",-60,46.8,"(0,0)",-39,11.3,"(0,7.5)",,"(6,6.4)"
-42,19.9,"(9.6,7.5)",-60,46.8,"(0,0)",-40,11.3,"(0,7.5)",,"(6,6.4)"
-44,19.9,"(9.6,7.5)",-60,46.8,"(0,0)",-40,11.3,"(0,7.5)",,"(6,6.4)"
-43,19.9,"(9.6,7.5)",-60,46.8,"(0,0)",-40,11.3,"(0,7.5)",,"(6,6.4)"
-41,19.9,"(9.6,7.5)",-60,46.8,"(0,0)",-39,11.3,"(0,7.5)",,"(6,6.4)"
-43,19.9,"(9.6,7.5)",-59,46.8,"(0,0)",-40,11.3,"(0,7.5)",,"(6,6.4)"
-42,19.9,"(9.6,7.5)",-60,46.8,"(0,0)",-40,11.3,"(0,7.5)",,"(6,6.4)"
-43,19.9,"(9.6,7.5)",-59,46.8,"(0,0)",-39,11.3,"(0,7.5)",,"(6,6.4)"
-42,19.9,"(9.6,7.5)",-61,46.8,"(0,0)",-44,11.3,"(0,7.5)",,"(6,6.4)"
-42,19.9,"(9.6,7.5)",-59,46.8,"(0,0)",-40,11.3,"(0,7.5)",,"(6,6.4)"
-45,19.9,"(9.6,7.5)",-60,46.8,"(0,0)",-41,11.3,"(0,7.5)",,"(6,6.4)"
-45,19.9,"(9.6,7.5)",-61,46.8,"(0,0)",-40,11.3,"(0,7.5)",,"(6,6.4)"
-43,19.9,"(9.6,7.5)",-61,46.8,"(0,0)",-41,11.3,"(0,7.5)",,"(6,6.4)"
-42,19.9,"(9.6,7.5)",-52,46.8,"(0,0)",-42,11.3,"(0,7.5)",,"(6,6.4)"
-43,19.9,"(9.6,7.5)",-58,46.8,"(0,0)",-39,11.3,"(0,7.5)",,"(6,6.4)"
-43,19.9,"(9.6,7.5)",-59,46.8,"(0,0)",-39,11.3,"(0,7.5)",,"(6,6.4)"
-43,19.9,"(9.6,7.5)",-60,46.8,"(0,0)",-40,11.3,"(0,7.5)",,"(6,6.4)"
-44,19.9,"(9.6,7.5)",-59,46.8,"(0,0)",-40,11.3,"(0,7.5)",,"(6,6.4)"
-44,19.9,"(9.6,7.5)",-61,46.8,"(0,0)",-40,11.3,"(0,7.5)",,"(6,6.4)"
-43,19.9,"(9.6,7.5)",-59,46.8,"(0,0)",-41,11.3,"(0,7.5)",,"(6,6.4)"
-44,19.9,"(9.6,7.5)",-61,46.8,"(0,0)",-40,11.3,"(0,7.5)",,"(6,6.4)"
-43,19.9,"(9.6,7.5)",-60,46.8,"(0,0)",-40,11.3,"(0,7.5)",,"(6,6.4)"
-43,19.9,"(9.6,7.5)",-61,46.8,"(0,0)",-39,11.3,"(0,7.5)",,"(6,6.4)"
-43,19.9,"(9.6,7.5)",-61,46.8,"(0,0)",-39,11.3,"(0,7.5)",,"(6,6.4)"
-43,19.9,"(9.6,7.5)",-60,46.8,"(0,0)",-41,11.3,"(0,7.5)",,"(6,6.4)"
-44,19.9,"(9.6,7.5)",-58,46.8,"(0,0)",-41,11.3,"(0,7.5)",,"(6,6.4)"
-43,19.9,"(9.6,7.5)",-60,46.8,"(0,0)",-41,11.3,"(0,7.5)",,"(6,6.4)"
-43,19.9,"(9.6,7.5)",-59,46.8,"(0,0)",-39,11.3,"(0,7.5)",,"(6,6.4)"
-43,19.9,"(9.6,7.5)",-61,46.8,"(0,0)",-39,11.3,"(0,7.5)",,"(6,6.4)"
-45,19.9,"(9.6,7.5)",-61,46.8,"(0,0)",-39,11.3,"(0,7.5)",,"(6,6.4)"
-42,19.9,"(9.6,7.5)",-60,46.8,"(0,0)",-42,11.3,"(0,7.5)",,"(6,6.4)"
-42,19.9,"(9.6,7.5)",-61,46.8,"(0,0)",-39,11.3,"(0,7.5)",,"(6,6.4)"
-42,19.9,"(9.6,7.5)",-61,46.8,"(0,0)",-39,11.3,"(0,7.5)",,"(6,6.4)"
-42,19.9,"(9.6,7.5)",-59,46.8,"(0,0)",-40,11.3,"(0,7.5)",,"(6,6.4)"
