AP1,,AP2,,AP3 ,label,location ,cordinates of targeted  node ,,,Angles 
-44 dBm,,-53 dBm,,-36 dBm,,,,,,
-48 dBm,,-47 dBm,,-35 dBm,,"ap2(0,0)","(6,0)",,,ap2 0*
-48 dBm,,-47 dBm,,-36 dBm,,"ap3(0,7.5)",,,,ap3 51.70*
-48 dBm,,-47 dBm,,-35 dBm,,"ap1(9.6,7.5)",,,,ap1 65.89*
-47 dBm,,-45 dBm,,-36 dBm,,,,,,
-49 dBm,,-48 dBm,,-35 dBm,,,,,,
-48 dBm,,-47 dBm,,-36 dBm,,,,,,
-48 dBm,,-48 dBm,,-35,,,,,,
-48 dBm,,-49 dBm,,-36,,,,,,
-49 dBm,,-47 dBm,,-36,,,,,,
-47 dBm,,-47 dBm,,-35,,,,,,
-49 dBm,,-45 dBm,,-35,,,,,,
-48 dBm,,-48 dBm,,-37,,,,,,
-47 dBm,,-47 dBm,,-36,,,,,,
-48 dBm,,-47 dBm,,-36 dBm,,,,,,
-48 dBm,,-47 dBm,,-35 dBm,,,,,,
-48 dBm,,-47 dBm,,-35 dBm,,,,,,
-49 dBm,,-46 dBm,,-34 dBm,,,,,,
-48 dBm,,-47 dBm,,-35 dBm,,,,,,
-50 dBm,,-47 dBm,,-35 dBm,,,,,,
-48 dBm,,-47 dBm,,-36 dBm,,,,,,
-49 dBm,,-48 dBm,,-35 dBm,,,,,,
-48 dBm,,-48 dBm,,-36 dBm,,,,,,
-49 dBm,,-47 dBm,,-34 dBm,,,,,,
-50 dBm,,-47 dBm,,-35 dBm,,,,,,
-48 dBm,,-47 dBm,,-35 dBm,,,,,,
-49 dBm,,-48 dBm,,-35 dBm,,,,,,
-48 dBm,,-47 dBm,,-35 dBm,,,,,,
-48 dBm,,-47 dBm,,-36 dBm,,,,,,
-49 dBm,,-47 dBm,,-36 dBm,,,,,,
-50 dBm,,-48 dBm,,-34 dBm,,,,,,
-48 dBm,,-47 dBm,,-35 dBm,,,,,,
-48 dBm,,-47 dBm,,-35 dBm,,,,,,
-48 dBm,,-47 dBm,,-34 dBm,,,,,,
-50 dBm,,-47 dBm,,-35 dBm,,,,,,
-48 dBm,,-45 dBm,,-36 dBm,,,,,,
-49 dBm,,-48 dBm,,-36 dBm,,,,,,
-49 dBm,,-47 dBm,,-36 dBm,,,,,,
-48 dBm,,-48 dBm,,-36 dBm,,,,,,
-50 dBm,,-47 dBm,,-35 dBm,,,,,,
-48 dBm,,-48 dBm,,-36 dBm,,,,,,
-49 dBm,,-47 dBm,,-35 dBm,,,,,,
-49 dBm,,-45 dBm,,-36 dBm,,,,,,
-48 dBm,,-48 dBm,,-36 dBm,,,,,,
-49 dBm,,-47 dBm,,-35 dBm,,,,,,
-48 dBm,,-47 dBm,,-36 dBm,,,,,,
-44 dBm,,-48 dBm,,-35 dBm,,,,,,
-49 dBm,,-48 dBm,,-34 dBm,,,,,,
-48 dBm,,-47 dBm,,-34 dBm,,,,,,
-49 dBm,,-47 dBm,,-35 dBm,,,,,,
