AP1,angle_AP1_X,location_AP1_X,location_AP1_y,AP2,angle_AP2,location_AP2_X,location_AP2_y,AP3 ,angle_AP3,location_AP3_X,location_AP3_y,,target_y
-38,76.67,9.6,7.5,-49,0,0,0,-41,45.37,0,7.5,7.5,0
-48,76.67,9.6,7.5,-46,0,0,0,-40,45.37,0,7.5,7.5,0
-43,76.67,9.6,7.5,-55,0,0,0,-38,45.37,0,7.5,7.5,0
-41,76.67,9.6,7.5,-57,0,0,0,-40,45.37,0,7.5,7.5,0
-42,76.67,9.6,7.5,-53,0,0,0,-39,45.37,0,7.5,7.5,0
-42,76.67,9.6,7.5,-60,0,0,0,-39,45.37,0,7.5,7.5,0
-41,76.67,9.6,7.5,-56,0,0,0,-38,45.37,0,7.5,7.5,0
-42,76.67,9.6,7.5,-50,0,0,0,-39,45.37,0,7.5,7.5,0
-41,76.67,9.6,7.5,-55,0,0,0,-38,45.37,0,7.5,7.5,0
-41,76.67,9.6,7.5,-51,0,0,0,-39,45.37,0,7.5,7.5,0
-41,76.67,9.6,7.5,-53,0,0,0,-39,45.37,0,7.5,7.5,0
-41,76.67,9.6,7.5,-56,0,0,0,-38,45.37,0,7.5,7.5,0
-41,76.67,9.6,7.5,-55,0,0,0,-39,45.37,0,7.5,7.5,0
-42,76.67,9.6,7.5,-54,0,0,0,-39,45.37,0,7.5,7.5,0
-41,76.67,9.6,7.5,-57,0,0,0,-38,45.37,0,7.5,7.5,0
-43,76.67,9.6,7.5,-56,0,0,0,-39,45.37,0,7.5,7.5,0
-40,76.67,9.6,7.5,-58,0,0,0,-39,45.37,0,7.5,7.5,0
-41,76.67,9.6,7.5,-57,0,0,0,-39,45.37,0,7.5,7.5,0
-41,76.67,9.6,7.5,-56,0,0,0,-39,45.37,0,7.5,7.5,0
-42,76.67,9.6,7.5,-55,0,0,0,-40,45.37,0,7.5,7.5,0
-41,76.67,9.6,7.5,-56,0,0,0,-39,45.37,0,7.5,7.5,0
-41,76.67,9.6,7.5,-57,0,0,0,-39,45.37,0,7.5,7.5,0
-41,76.67,9.6,7.5,-56,0,0,0,-37,45.37,0,7.5,7.5,0
-42,76.67,9.6,7.5,-58,0,0,0,-39,45.37,0,7.5,7.5,0
-41,76.67,9.6,7.5,-55,0,0,0,-39,45.37,0,7.5,7.5,0
-41,76.67,9.6,7.5,-56,0,0,0,-39,45.37,0,7.5,7.5,0
-41,76.67,9.6,7.5,-57,0,0,0,-39,45.37,0,7.5,7.5,0
-41,76.67,9.6,7.5,-55,0,0,0,-39,45.37,0,7.5,7.5,0
-42,76.67,9.6,7.5,-57,0,0,0,-38,45.37,0,7.5,7.5,0
-41,76.67,9.6,7.5,-55,0,0,0,-39,45.37,0,7.5,7.5,0
-41,76.67,9.6,7.5,-55,0,0,0,-39,45.37,0,7.5,7.5,0
-43,76.67,9.6,7.5,-55,0,0,0,-38,45.37,0,7.5,7.5,0
-40,76.67,9.6,7.5,-56,0,0,0,-39,45.37,0,7.5,7.5,0
-41,76.67,9.6,7.5,-56,0,0,0,-39,45.37,0,7.5,7.5,0
-42,76.67,9.6,7.5,-56,0,0,0,-40,45.37,0,7.5,7.5,0
-41,76.67,9.6,7.5,-57,0,0,0,-39,45.37,0,7.5,7.5,0
-42,76.67,9.6,7.5,-56,0,0,0,-40,45.37,0,7.5,7.5,0
-41,76.67,9.6,7.5,-56,0,0,0,-39,45.37,0,7.5,7.5,0
-41,76.67,9.6,7.5,-56,0,0,0,-39,45.37,0,7.5,7.5,0
-42,76.67,9.6,7.5,-57,0,0,0,-38,45.37,0,7.5,7.5,0
-41,76.67,9.6,7.5,-56,0,0,0,-39,45.37,0,7.5,7.5,0
-41,76.67,9.6,7.5,-57,0,0,0,-39,45.37,0,7.5,7.5,0
-41,76.67,9.6,7.5,-56,0,0,0,-39,45.37,0,7.5,7.5,0
-41,76.67,9.6,7.5,-56,0,0,0,-39,45.37,0,7.5,7.5,0
-41,76.67,9.6,7.5,-57,0,0,0,-38,45.37,0,7.5,7.5,0
-42,76.67,9.6,7.5,-57,0,0,0,-39,45.37,0,7.5,7.5,0
-41,76.67,9.6,7.5,-56,0,0,0,-38,45.37,0,7.5,7.5,0
-41,76.67,9.6,7.5,-57,0,0,0,-39,45.37,0,7.5,7.5,0
-41,76.67,9.6,7.5,-56,0,0,0,-38,45.37,0,7.5,7.5,0
-41,76.67,9.6,7.5,-56,0,0,0,-39,45.37,0,7.5,7.5,0
