AP1,angle_AP1,location_AP1_X,location_AP1_y,AP2,angle_AP2,location_AP2_X,location_AP2_y,AP3 ,angle_AP3,location_AP3_X,location_AP3_y,target_X ,target_y
-45,42.51,9.6,7.5,-51,44.35,0,0,-38,35.41,0,7.5,4.5,3.2
-41,42.51,9.6,7.5,-50,44.35,0,0,-39,35.41,0,7.5,4.5,3.2
-46,42.51,9.6,7.5,-59,44.35,0,0,-41,35.41,0,7.5,4.5,3.2
-45,42.51,9.6,7.5,-59,44.35,0,0,-38,35.41,0,7.5,4.5,3.2
-42,42.51,9.6,7.5,-51,44.35,0,0,-39,35.41,0,7.5,4.5,3.2
-40,42.51,9.6,7.5,-47,44.35,0,0,-35,35.41,0,7.5,4.5,3.2
-41,42.51,9.6,7.5,-46,44.35,0,0,-37,35.41,0,7.5,4.5,3.2
-40,42.51,9.6,7.5,-48,44.35,0,0,-37,35.41,0,7.5,4.5,3.2
-41,42.51,9.6,7.5,-47,44.35,0,0,-38,35.41,0,7.5,4.5,3.2
-40,42.51,9.6,7.5,-47,44.35,0,0,-37,35.41,0,7.5,4.5,3.2
-43,42.51,9.6,7.5,-47,44.35,0,0,-38,35.41,0,7.5,4.5,3.2
-42,42.51,9.6,7.5,-47,44.35,0,0,-37,35.41,0,7.5,4.5,3.2
-41,42.51,9.6,7.5,-47,44.35,0,0,-37,35.41,0,7.5,4.5,3.2
-41,42.51,9.6,7.5,-47,44.35,0,0,-37,35.41,0,7.5,4.5,3.2
-41,42.51,9.6,7.5,-47,44.35,0,0,-38,35.41,0,7.5,4.5,3.2
-41,42.51,9.6,7.5,-49,44.35,0,0,-37,35.41,0,7.5,4.5,3.2
-41,42.51,9.6,7.5,-48,44.35,0,0,-36,35.41,0,7.5,4.5,3.2
-41,42.51,9.6,7.5,-47,44.35,0,0,-38,35.41,0,7.5,4.5,3.2
-42,42.51,9.6,7.5,-48,44.35,0,0,-37,35.41,0,7.5,4.5,3.2
-41,42.51,9.6,7.5,-46,44.35,0,0,-37,35.41,0,7.5,4.5,3.2
-42,42.51,9.6,7.5,-47,44.35,0,0,-38,35.41,0,7.5,4.5,3.2
-41,42.51,9.6,7.5,-48,44.35,0,0,-36,35.41,0,7.5,4.5,3.2
-41,42.51,9.6,7.5,-47,44.35,0,0,-36,35.41,0,7.5,4.5,3.2
-42,42.51,9.6,7.5,-48,44.35,0,0,-37,35.41,0,7.5,4.5,3.2
-41,42.51,9.6,7.5,-47,44.35,0,0,-38,35.41,0,7.5,4.5,3.2
-42,42.51,9.6,7.5,-48,44.35,0,0,-37,35.41,0,7.5,4.5,3.2
-41,42.51,9.6,7.5,-49,44.35,0,0,-36,35.41,0,7.5,4.5,3.2
-41,42.51,9.6,7.5,-48,44.35,0,0,-37,35.41,0,7.5,4.5,3.2
-41,42.51,9.6,7.5,-46,44.35,0,0,-37,35.41,0,7.5,4.5,3.2
-41,42.51,9.6,7.5,-48,44.35,0,0,-38,35.41,0,7.5,4.5,3.2
-41,42.51,9.6,7.5,-47,44.35,0,0,-37,35.41,0,7.5,4.5,3.2
-41,42.51,9.6,7.5,-48,44.35,0,0,-37,35.41,0,7.5,4.5,3.2
-41,42.51,9.6,7.5,-48,44.35,0,0,-37,35.41,0,7.5,4.5,3.2
-41,42.51,9.6,7.5,-47,44.35,0,0,-37,35.41,0,7.5,4.5,3.2
-41,42.51,9.6,7.5,-46,44.35,0,0,-38,35.41,0,7.5,4.5,3.2
-41,42.51,9.6,7.5,-47,44.35,0,0,-38,35.41,0,7.5,4.5,3.2
-42,42.51,9.6,7.5,-47,44.35,0,0,-37,35.41,0,7.5,4.5,3.2
-41,42.51,9.6,7.5,-46,44.35,0,0,-38,35.41,0,7.5,4.5,3.2
-42,42.51,9.6,7.5,-49,44.35,0,0,-37,35.41,0,7.5,4.5,3.2
-41,42.51,9.6,7.5,-47,44.35,0,0,-38,35.41,0,7.5,4.5,3.2
-41,42.51,9.6,7.5,-46,44.35,0,0,-37,35.41,0,7.5,4.5,3.2
-42,42.51,9.6,7.5,-47,44.35,0,0,-38,35.41,0,7.5,4.5,3.2
-41,42.51,9.6,7.5,-46,44.35,0,0,-38,35.41,0,7.5,4.5,3.2
-42,42.51,9.6,7.5,-48,44.35,0,0,-37,35.41,0,7.5,4.5,3.2
-41,42.51,9.6,7.5,-47,44.35,0,0,-36,35.41,0,7.5,4.5,3.2
-41,42.51,9.6,7.5,-47,44.35,0,0,-38,35.41,0,7.5,4.5,3.2
-42,42.51,9.6,7.5,-48,44.35,0,0,-37,35.41,0,7.5,4.5,3.2
-42,42.51,9.6,7.5,-47,44.35,0,0,-38,35.41,0,7.5,4.5,3.2
-41,42.51,9.6,7.5,-46,44.35,0,0,-38,35.41,0,7.5,4.5,3.2
-42,42.51,9.6,7.5,-48,44.35,0,0,-37,35.41,0,7.5,4.5,3.2
