,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
AP1 RSSI,AP2 RSSI,AP3 RSSI,AP4 RSSI,,target node facing to words ,,,angle of target node ,,locatioo of ap1,location of ap2,location of ap3,location of ap 4 ,,target node cordinate 
-68,-54,-82,-66,,north ,,,90,,"(0,7)","(0,0)","(9,0)","(7,9)",,"(1.8,0)"
-63,-53,-79,-65,,north ,,,90,,"(0,7)","(0,0)","(9,0)","(7,9)",,"(1.8,0)"
-66,-53,-82,-64,,north ,,,90,,"(0,7)","(0,0)","(9,0)","(7,9)",,"(1.8,0)"
-65,-55,-81,-66,,north ,,,90,,"(0,7)","(0,0)","(9,0)","(7,9)",,"(1.8,0)"
-68,-53,-78,-67,,north ,,,90,,"(0,7)","(0,0)","(9,0)","(7,9)",,"(1.8,0)"
-65,-52,-79,-65,,north ,,,90,,"(0,7)","(0,0)","(9,0)","(7,9)",,"(1.8,0)"
-68,-56,-77,-70,,north ,,,90,,"(0,7)","(0,0)","(9,0)","(7,9)",,"(1.8,0)"
-68,-55,-80,-67,,north ,,,90,,"(0,7)","(0,0)","(9,0)","(7,9)",,"(1.8,0)"
-69,-56,-80,-67,,north ,,,90,,"(0,7)","(0,0)","(9,0)","(7,9)",,"(1.8,0)"
-67,-54,-81,-65,,north ,,,90,,"(0,7)","(0,0)","(9,0)","(7,9)",,"(1.8,0)"
-70,-54,-84,-65,,north ,,,90,,"(0,7)","(0,0)","(9,0)","(7,9)",,"(1.8,0)"
-67,-52,-78,-65,,north ,,,90,,"(0,7)","(0,0)","(9,0)","(7,9)",,"(1.8,0)"
-67,-53,-85,-67,,north ,,,90,,"(0,7)","(0,0)","(9,0)","(7,9)",,"(1.8,0)"
-65,-56,-83,-67,,north ,,,90,,"(0,7)","(0,0)","(9,0)","(7,9)",,"(1.8,0)"
-72,-56,-83,-70,,north ,,,90,,"(0,7)","(0,0)","(9,0)","(7,9)",,"(1.8,0)"
-66,-55,-80,-66,,north ,,,90,,"(0,7)","(0,0)","(9,0)","(7,9)",,"(1.8,0)"
-73,-56,-76,-69,,north ,,,90,,"(0,7)","(0,0)","(9,0)","(7,9)",,"(1.8,0)"
-69,-56,-80,-68,,north ,,,90,,"(0,7)","(0,0)","(9,0)","(7,9)",,"(1.8,0)"
-75,-56,-78,-77,,north ,,,90,,"(0,7)","(0,0)","(9,0)","(7,9)",,"(1.8,0)"
-72,-58,-76,-69,,north ,,,90,,"(0,7)","(0,0)","(9,0)","(7,9)",,"(1.8,0)"
-71,-56,-73,-69,,north ,,,90,,"(0,7)","(0,0)","(9,0)","(7,9)",,"(1.8,0)"
-69,-54,-72,-69,,north ,,,90,,"(0,7)","(0,0)","(9,0)","(7,9)",,"(1.8,0)"
-72,-57,-75,-68,,north ,,,90,,"(0,7)","(0,0)","(9,0)","(7,9)",,"(1.8,0)"
-73,-58,-79,-65,,north ,,,90,,"(0,7)","(0,0)","(9,0)","(7,9)",,"(1.8,0)"
-69,-55,-80,-65,,north ,,,90,,"(0,7)","(0,0)","(9,0)","(7,9)",,"(1.8,0)"
-70,-58,-80,-64,,north ,,,90,,"(0,7)","(0,0)","(9,0)","(7,9)",,"(1.8,0)"
-70,-56,-84,-66,,north ,,,90,,"(0,7)","(0,0)","(9,0)","(7,9)",,"(1.8,0)"
-71,-55,-80,-66,,north ,,,90,,"(0,7)","(0,0)","(9,0)","(7,9)",,"(1.8,0)"
-67,-55,-77,-64,,north ,,,90,,"(0,7)","(0,0)","(9,0)","(7,9)",,"(1.8,0)"
-70,-54,-79,-66,,north ,,,90,,"(0,7)","(0,0)","(9,0)","(7,9)",,"(1.8,0)"
,,,,,,,,,,"(0,7)","(0,0)","(9,0)","(7,9)",,"(1.8,0)"
,,,,,,,,,,"(0,7)","(0,0)","(9,0)","(7,9)",,"(1.8,0)"
AP1 RSSI,AP2 RSSI,AP3 RSSI,AP4 RSSI,,,,,,,"(0,7)","(0,0)","(9,0)","(7,9)",,"(1.8,0)"
-72,-54,-82,-64,,east ,,,0,,"(0,7)","(0,0)","(9,0)","(7,9)",,"(1.8,0)"
-69,-55,-81,-66,,east ,,,0,,"(0,7)","(0,0)","(9,0)","(7,9)",,"(1.8,0)"
-71,-53,-80,-66,,east ,,,0,,"(0,7)","(0,0)","(9,0)","(7,9)",,"(1.8,0)"
-73,-53,-83,-65,,east ,,,0,,"(0,7)","(0,0)","(9,0)","(7,9)",,"(1.8,0)"
-66,-53,-78,-65,,east ,,,0,,"(0,7)","(0,0)","(9,0)","(7,9)",,"(1.8,0)"
